% Model:              Kundt's Tube Simulation.mph
% Version:            COMSOL 6.4.0.343
% Date:               Mar 9 2026, 15:57
% Dimension:          2
% Nodes:              354
% Expressions:        1
% Description:        Acoustic pressure
% Length unit:        m
% R                       Z                        p (Pa) @ freq=400
0.008459012027502107      0.3904232741850418       0.3923768048952336i
0                         0.39599999999999985      0.8359869359515736i
0.0169066007076657        0.38479372583638555      -0.05609586459363619i
0.025266766228713208      0.37886553944194107      -0.528243343932722i
0.033602897244143747      0.37286298719035305      -1.0052948844085128i
0.041878333271691146      0.36665560255060936      -1.4965710561326073i
0.05                      0.3600000000000001       -2.019860485864299i
0.00845468467365223       0.4024175593716736       1.344712250818411i
0                         0.40799999999999986      1.784860580106064i
0.016873641772933053      0.39669778143100703      0.8914102603141937i
0.02526427756770981       0.39087943667458935      0.42869791507809735i
0.03360777206022337       0.38490835262939754      -0.04696328497554054i
0.04186877062165962       0.3786842082711861       -0.5426736555055016i
0.05                      0.37200000000000005      -1.0737425422131786i
0.008454826814114795      0.4144178787670116       2.2871498980146936i
0                         0.4199999999999999       2.719960167897525i
0.016872680835845224      0.40870496347735324      1.840247151719656i
0.02525655249584333       0.4028703631610031       1.3805071646463398i
0.0336287382537015        0.39700060202824566      0.9154562582563638i
0.04188040167801923       0.3907356812156141       0.4172531598898162i
0.05                      0.3840000000000001       -0.11933839656249039i
0.008454764881398655      0.42641934551057276      3.2120236572918928i
0                         0.4319999999999999       3.634069334079843i
0.01687285036099051       0.42071054067633423      2.774741510672363i
0.025253249195276384      0.4148690534945889       2.322283457856102i
0.03363884916721485       0.4090426214163665       1.86675899214788i
0.04183495374727119       0.40257453171761587      1.3571224151984949i
0.05                      0.3960000000000001       0.8359866393968979i
0.008454433177312832      0.4384180875094603       4.1119025409379155i
0                         0.4439999999999999       4.520133680609694i
0.016875346770456875      0.4327223960950239       3.6882734456404083i
0.025240695292933903      0.4268329121039743       3.243492916327472i
0.03361770287182973       0.42098327469637487      2.79574934533117i
0.04182959472587658       0.4145604150314133       2.298252081448943i
0.05                      0.4080000000000001       1.7848606314445725i
0.008453305222619948      0.4504071495314153       4.9793698587470425i
0                         0.45599999999999996      5.371315329218315i
0.016885572592537777      0.4447556537620856       4.574833625835859i
0.025229880376708095      0.43879843933433643      4.139945236510008i
0.033569430739450255      0.4328243213301952       3.695912770049865i
0.04182414646454661       0.4265464684891182       3.2217000142322507i
0.05                      0.42000000000000004      2.719960183676078i
0.00845380202825322       0.4623969971564477       5.808533485812851i
0                         0.4679999999999999       6.18104553053966i
0.01688461799610646       0.45673871758772283      5.422425750248416i
0.025223480837002692      0.4507744838752545       5.005376173124148i
0.033547601549338064      0.444752234572209        4.574586207470982i
0.041812211742438925      0.4385120269563943       4.118831686366672i
0.05                      0.43200000000000005      3.6340693884506883i
0.008452864784133523      0.4743837171347931       6.5927490690195105i
0                         0.48                     6.943075422644729i
0.016870980645513782      0.4686853295473471       6.225908048118144i
0.02521074193237303       0.46272509629208397      5.830622711775334i
0.033528198793319856      0.45668443157254907      5.4186750794827665i
0.04179328911115435       0.4504511818064831       4.9824892523430515i
0.05                      0.44400000000000006      4.520133782660155i
0.008452636255726165      0.48637469864226424      7.326450739984028i
0                         0.492                    7.6515242921345505i
0.016864142653723296      0.48065348273212155      6.983086796709183i
0.02519609268935008       0.474666541998995        6.610662465018386i
0.033510403486378404      0.46861815591870853      6.22151773820972i
0.041775822363568166      0.46238844088686565      5.807957006631326i
0.05                      0.45599999999999996      5.371315488436562i
0.008453478017619307      0.4983435892962982       8.002505075455053i
0                         0.504                    8.300924938749569i
0.01685443886631544       0.49260052973506063      7.685470688271899i
0.02518527557053651       0.48661598274935497      7.340653124403791i
0.03349733315134674       0.4805638191116743       6.977606317025592i
0.04176461498353981       0.4743454520176922       6.590323314633239i
0.05                      0.46799999999999997      6.181045738403344i
0.008446647705314267      0.510315150468015        8.617252116502291i
0                         0.516                    8.88626577704658i
0.016845746116228123      0.5045462895894564       8.329000368305971i
0.02517744686353203       0.49856828631482664      8.014624848904782i
0.03348676804636667       0.49251145750454434      7.680445101975102i
0.041756608388687354      0.48630987552638666      7.322631204139985i
0.05                      0.48                     6.943075666961412i
0.008448577293576572      0.5222945133363565       9.166147831329125i
0                         0.528                    9.40302961977457i
0.016836853143782273      0.516488261060349        8.908659629136084i
0.02518136832472402       0.5105537094991134       8.628844692218685i
0.033477074760766785      0.5044558715559849       8.324362778870414i
0.041750219341860274      0.49827550214081046      7.998828313499382i
0.05                      0.492                    7.651524572382544i
0.00844581744619221       0.5342781686311644       9.644707872413322i
0                         0.5399999999999999       9.847228490236658i
0.01682946821546668       0.5284358662184003       9.420456658228238i
0.02517164642468754       0.5224866249721991       9.174386669626953i
0.03346705584443906       0.5163972261924071       8.90449308694505i
0.04174393665760101       0.5102395153306869       8.61357131146349i
0.05000000000000001       0.504                    8.30092522262248i
0.008437851599215338      0.5462887091733342       10.049861703488174i
0                         0.5519999999999999       10.215434377378662i
0.01680788964668395       0.540391092435078        9.860444058566754i
0.025157969200131174      0.5344291981931197       9.650272689617383i
0.03345415568658947       0.5283374174001906       9.416528934516803i
0.04173572708784503       0.5222006760789807       9.162117014951166i
0.05000000000000001       0.516                    8.886266071524629i
0.008401478343566263      0.5582653081162988       10.376509204592436i
0                         0.564                    10.504806012961717i
0.016748599099831504      0.5523375581557907       10.22466416409251i
0.025127257315229197      0.5463889724177965       10.052920796347196i
0.0334325767881526        0.5402691659891735       9.856332861608992i
0.04172257440219629       0.534155146313612        9.640166423182913i
0.05                      0.528                    9.403029929287172i
0.008568657558412691      0.5700420986363708       10.619937608879063i
0                         0.576                    10.713110225838669i
0.016690070273344352      0.5642757474385449       10.510510373843935i
0.02501788100395694       0.5583908751474295       10.37951565387734i
0.03340804277000385       0.5521640061100396       10.21992750083463i
0.04169756332747454       0.5460849185306589       10.043627188396664i
0.05                      0.54                     9.847228811913604i
0.008807161891347356      0.5818340032105019       10.784588863652267i
0                         0.588                    10.838739543009856i
0.007998770058909933      0.5918180008284571       10.861197515318453i
0                         0.6                      10.880723486505824i
0.017593066014368525      0.5758838178634222       10.711487135501711i
0.025093488959420235      0.5698409611032197       10.616439246416034i
0.03294224563632072       0.5634532638902144       10.493371196705288i
0.04161772496955329       0.5579106919203971       10.367972301195095i
0.05                      0.552                    10.215434794169589i
0.018682477716392986      0.5892601019347615       10.847090405167583i
0.012499999999999999      0.5999999999999999       10.880723156073103i
0.02735323653390238       0.5800778719669747       10.765136992239663i
0.03282136156257249       0.5723658620609267       10.658691292746736i
0.04165849808352064       0.5697619629914691       10.615058222424222i
0.05                      0.5640000000000001       10.504806324997265i
0.03164546185805631       0.5904499617445226       10.854125971058963i
0.024999999999999998      0.5999999999999999       10.88072359631i
0.03958997052651827       0.5813931701724421       10.779873791509564i
0.05                      0.576                    10.713110498283575i
0.04174708637152427       0.5919686263929572       10.861909820464865i
0.03749999999999999       0.6                      10.880722963839986i
0.05                      0.588                    10.838739631399468i
0.05                      0.6                      10.880723947004359i
